filename,curve_number,position_index,map_x_position,map_y_position,linear_x_min_used_nm,linear_x_max_used_nm,linear_first_excluded_above_nm,linear_T,linear_range_score,linear_slope_bruker_N_per_m,bacterial_spring_constant_N_per_m,bacterial_spring_constant_nN_per_um,linear_model_x_slope_N_per_m,linear_intercept_nN,linear_rmsd_custom_pN,elasticity_x_min_used_nm,elasticity_x_max_used_nm,elasticity_last_excluded_below_nm,elasticity_T,elasticity_contact_T,elasticity_range_score,youngs_modulus_MPa,contact_point_x_nm,contact_point_y_measured_nN,contact_point_y_fit_nN,elasticity_baseline_pN,elasticity_rms_bruker_pN,elasticity_rmsd_custom_pN,max_indentation_x_nm,max_indentation_y_nN
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_00.jpk-qi-series,1,1940,-0.0017287892866255153,-0.002071442678450801,-68.43900791325547,-28.235434583900894,-27.9125592023169,196,1.1360975176393463e-15,0.016401070324,0.0132609796338811,13.2609796338811,-0.016401070323991587,-0.07754088154392519,25.427880018757868,-17.570401561653295,358.98352631330823,-17.99167321087589,1554,132,1.161782917929396e-07,0.7411620867810907,12.826936117438994,0.009906905984546951,0.00013737910297101396,0.13737910297101394,19.246211977715085,19.227625578422757,-68.43900791325547,1.0342953200654932
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_01.jpk-qi-series,2,1941,-0.0017287345991255155,-0.002071442678450801,-59.93122470342849,-28.31810215996474,-28.08724448421876,163,1.0193235732339664e-15,0.0224415723912,0.016949802635779842,16.949802635779843,-0.022441572391243534,-0.34252294444206527,19.685879842420906,-17.606638055505424,371.595559426191,-17.713541253596315,1587,102,1.6803125153257232e-07,0.8167425458585595,6.759682004141727,0.028589369768189543,0.000473337153340852,0.47333715334085197,19.097276249575895,19.079217355466362,-59.93122470342849,1.0107025599424193
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_02.jpk-qi-series,3,1942,-0.0017286799116255154,-0.002071442678450801,-48.48777083187862,-28.363308423176715,-28.02408573572054,105,6.836011793407033e-16,0.0213723562734,0.01633266571709529,16.33266571709529,-0.021372356273419914,-0.026495144734371878,15.138131447084975,-17.42501196921176,382.57539362826077,-17.698433613266662,1641,115,1.2420083109552855e-07,1.4812886158287493,7.082736252229848,-0.002630545246923409,0.00032940579681193583,0.32940579681193577,17.88447909783303,17.868123832319768,-48.48777083187862,1.039378360744724
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_03.jpk-qi-series,4,1943,-0.001728625,-0.002071443,-55.0596136,-20.016377,-19.99917478,177,1.57E-14,0.020476672,,,-0.020476672,-0.106312864,24.84352879,-24.86476909,376.5233581,-25.00435457,1647,152,1.07E-09,1.077313244,8.231405664,-0.01237191,-5.59E-06,-0.005594637,19.02331619,19.00598287,-55.0596136,1.021974363
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\qi-data-2024.10.02-14.52.38.338-cropped_04.jpk-qi-series,5,1944,-0.001728571,-0.002071443,-50.9359648,-20.12753955,-19.89998126,164,1.16E-15,0.024145732,0.017904216,17.90421618,-0.024145732,-0.231123505,20.83371578,-24.71478649,379.9815005,-25.04462113,1661,145,3.77E-07,1.011813008,6.619117951,-0.024282378,0.000624077,0.624076649,18.61036548,18.59355141,-50.9359648,1.025532199
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_05.jpk-qi-series,6,2004,-0.001728789,-0.002071388,-47.9250785,-25.05898885,-24.86493286,118,5.98E-15,0.022892427,0.017205737,17.20573725,-0.022892427,-0.098911066,21.61087421,-24.86493286,382.1681137,-25.05898885,1682,167,9.96E-09,1.079865743,10.7990376,-0.034485451,0.001254783,1.254783205,20.22121325,20.20317202,-47.9250785,0.9939364
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_06.jpk-qi-series,7,2005,-0.001728735,-0.002071388,-64.25504781,-49.25203306,-49.08753092,76,1.85E-15,0.021555088,0.016439165,16.4391653,-0.021555088,-0.388893091,17.5476989,-24.84773968,369.2989599,-25.26432752,1613,140,1.78E-09,1.083068634,5.58607747,0.001573081,0.001323239,1.323239179,17.88119816,17.86456191,-64.25504781,0.983302898
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_07.jpk-qi-series,8,2006,-0.00172868,-0.002071388,-58.4937671,-33.02643086,-32.73417905,126,3.50E-15,0.017603786,0.01403636,14.03636,-0.017603786,-0.066461193,16.7376894,-30.13101365,374.1467021,-30.37865118,1664,169,3.54E-09,1.004887248,6.195453394,0.014059077,-0.001265442,-1.265442305,19.5953059,19.57763389,-58.4937671,0.964556603
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_09.jpk-qi-series,10,2008,-0.001728571,-0.002071388,-57.5669151,-25.18331119,-24.95376539,163,1.43E-15,0.019267355,0.015074126,15.07412566,-0.019267355,-0.132130461,17.73588893,-29.87359358,374.0866879,-30.24998726,1661,175,6.39E-09,0.848494111,8.862992141,0.024595005,-0.001051482,-1.051481774,18.19778047,18.18133916,-57.5669151,0.972029223
C:\Users\s2237098\OneDrive - University of Edinburgh\PhD\Experiments\AFM\AFM data\2024\02.10 - REDO\code\qi-data-2024.10.02-14.52.38.338-cropped_10.jpk-qi-series,11,2068,-0.001728789,-0.002071333,-69.96028906,-45.69624531,-45.57944366,124,1.70E-14,0.020618114,0.015888496,15.88849582,-0.020618114,-0.420020594,17.92762191,-40.93545273,361.1653452,-41.32883818,1657,230,1.13E-08,0.453135655,11.06964646,0.008176775,0.00241563,2.41562957,18.14670435,18.13026959,-69.96028906,1.024931891
